Date,Temperature_C,Humidity_Percent,Rain_mm
2026/01/01,27.36,86.64,2.76
2026/01/02,26.71,89.18,5.7
2026/01/03,26.6,86.1,0.8
2026/01/04,26.8,85.77,1.43
2026/01/05,27.38,85.65,0.57
2026/01/06,27.34,87.51,3.05
2026/01/07,27.32,87.01,2.21
2026/01/08,27.13,86.05,1.93
2026/01/09,27.09,84.33,0.52
2026/01/10,27.47,84.15,1.41
2026/01/11,27.31,87.73,1.6
2026/01/12,27.25,85.66,0.49
2026/01/13,27.33,82.84,0.35
2026/01/14,27.5,83.83,0.88
2026/01/15,27.36,85.94,2.38
2026/01/16,27.34,86.41,2.58
2026/01/17,27.1,87.16,3.55
2026/01/18,26.8,87.22,2.15
2026/01/19,27.14,85.76,1.65
2026/01/20,27.17,86.97,8.18
2026/01/21,27.22,85.62,0.26
2026/01/22,27.25,84.81,0.22
2026/01/23,27.43,83.77,0.09
2026/01/24,28.02,81.2,0.11
2026/01/25,27.73,82.01,0.19
2026/01/26,27.33,83.38,0.24
2026/01/27,27.7,80.24,0.17
2026/01/28,27.83,81.6,0.12
2026/01/29,28.05,82.72,0.28
2026/01/30,27.5,86.89,0.83
2026/01/31,27.33,88.17,3.77
2026/02/01,27.96,81.95,1.42
2026/02/02,27.96,81.53,1.36
2026/02/03,28.11,81.08,2.53
2026/02/04,28.28,75.01,0.72
2026/02/05,27.79,81.66,0.9
2026/02/06,28.13,80.57,1.1
2026/02/07,28.08,78.74,1.91
2026/02/08,28.06,81.24,1.13
2026/02/09,28.12,82.33,2.17
2026/02/10,28.01,81.0,2.33
2026/02/11,27.63,80.64,1.22
2026/02/12,27.65,80.26,0.18
2026/02/13,27.74,79.49,0.79
2026/02/14,28.02,79.2,1.74
2026/02/15,27.84,78.39,0.81
2026/02/16,28.12,79.27,1.71
2026/02/17,28.22,78.99,1.37
2026/02/18,28.19,78.64,0.78
2026/02/19,28.25,79.85,1.82
2026/02/20,28.17,80.56,0.87
2026/02/21,28.32,79.82,0.62
2026/02/22,28.4,79.55,0.84
2026/02/23,28.61,79.24,1.29
2026/02/24,28.57,78.73,2.94
2026/02/25,28.19,78.16,2.57
2026/02/26,28.17,77.44,1.03
2026/02/27,28.18,76.65,3.02
2026/02/28,28.14,76.39,2.32
2026/03/01,28.22,77.89,2.51
2026/03/02,28.35,77.9,2.24
2026/03/03,28.33,76.61,2.44
2026/03/04,28.37,77.89,1.48
2026/03/05,28.5,76.43,1.75
2026/03/06,28.42,77.47,1.42
2026/03/07,28.45,77.55,0.63
2026/03/08,28.72,77.95,0.44
2026/03/09,28.86,78.86,1.21
2026/03/10,28.88,79.69,1.54
2026/03/11,28.59,80.24,0.61
2026/03/12,28.66,79.32,1.43
2026/03/13,28.56,78.79,1.94
2026/03/14,28.41,80.74,1.37
2026/03/15,28.66,81.08,2.29
2026/03/16,28.56,81.01,2.3
2026/03/17,-999.0,-999.0,-999.0
2026/03/18,-999.0,-999.0,-999.0
2026/03/19,-999.0,-999.0,-999.0
