YearMonthDay,Hour,Temperature_C,Humidity_Percent,Rain_mm
20260301,00,27.05,83.82,0.52
20260301,01,26.92,84.33,0.44
20260301,02,26.78,84.91,0.78
20260301,03,26.68,85.4,0.45
20260301,04,26.6,85.89,0.04
20260301,05,26.52,86.23,0.05
20260301,06,26.5,86.34,0.19
20260301,07,27.02,83.76,0.37
20260301,08,27.81,79.01,2.36
20260301,09,28.73,73.65,0.53
20260301,10,29.64,69.33,0.41
20260301,11,30.41,66.36,1.14
20260301,12,30.85,64.94,1.7
20260301,13,30.95,64.87,6.14
20260301,14,30.65,65.96,11.56
20260301,15,30.03,68.14,14.83
20260301,16,29.33,71.13,13.72
20260301,17,28.63,74.93,3.28
20260301,18,28.15,78.29,0.05
20260301,19,27.9,80.33,0.22
20260301,20,27.74,81.67,0.35
20260301,21,27.58,82.54,0.38
20260301,22,27.43,83.33,0.31
20260301,23,27.28,84.1,0.42
20260302,00,27.11,84.79,0.6
20260302,01,26.94,85.35,0.42
20260302,02,26.77,85.94,0.48
20260302,03,26.63,86.32,0.61
20260302,04,26.52,86.77,0.57
20260302,05,26.45,87.04,0.68
20260302,06,26.46,86.83,0.77
20260302,07,26.91,84.57,0.46
20260302,08,27.82,79.17,0.79
20260302,09,28.78,73.9,1.13
20260302,10,29.61,70.08,2.28
20260302,11,30.27,67.38,2.7
20260302,12,30.79,65.58,2.22
20260302,13,31.06,65.36,1.27
20260302,14,31.04,65.91,1.72
20260302,15,30.71,67.0,6.93
20260302,16,30.05,69.15,9.94
20260302,17,29.15,73.2,9.71
20260302,18,28.47,77.19,4.01
20260302,19,28.17,79.3,0.6
20260302,20,27.96,80.87,0.7
20260302,21,27.78,81.9,1.2
20260302,22,27.59,82.72,1.72
20260302,23,27.42,83.37,2.22
20260303,00,27.26,83.84,2.76
20260303,01,27.07,84.2,2.27
20260303,02,26.87,84.67,1.5
20260303,03,26.68,85.27,1.93
20260303,04,26.49,86.12,1.68
20260303,05,26.31,86.86,1.69
20260303,06,26.21,87.34,1.14
20260303,07,26.69,84.74,0.78
20260303,08,27.62,78.38,0.8
20260303,09,28.7,71.27,0.6
20260303,10,29.69,66.26,0.73
20260303,11,30.46,63.2,0.66
20260303,12,31.0,61.64,0.54
20260303,13,31.14,61.92,0.53
20260303,14,30.92,63.88,2.42
20260303,15,30.43,66.2,4.45
20260303,16,29.82,68.67,8.83
20260303,17,29.08,72.05,11.95
20260303,18,28.45,75.95,5.91
20260303,19,28.14,78.99,1.53
20260303,20,27.95,80.52,0.95
20260303,21,27.78,81.55,1.36
20260303,22,27.63,82.25,1.78
20260303,23,27.47,82.92,1.79
20260304,00,27.32,83.51,1.8
20260304,01,27.16,84.11,2.18
20260304,02,27.01,84.41,1.88
20260304,03,26.86,84.88,1.59
20260304,04,26.73,85.36,1.27
20260304,05,26.65,85.65,0.65
20260304,06,26.65,85.73,0.34
20260304,07,27.27,83.33,0.17
20260304,08,28.11,79.17,0.26
20260304,09,29.01,74.73,0.25
20260304,10,29.84,70.88,0.16
20260304,11,30.46,68.18,0.49
20260304,12,30.78,66.61,1.17
20260304,13,30.91,66.06,0.72
20260304,14,30.72,66.8,5.82
20260304,15,30.19,68.49,5.23
20260304,16,29.54,70.87,5.86
20260304,17,28.84,74.14,2.49
20260304,18,28.29,77.75,1.7
20260304,19,28.01,80.15,0.17
20260304,20,27.85,81.14,0.37
20260304,21,27.7,81.78,0.31
20260304,22,27.53,82.45,0.22
20260304,23,27.37,83.17,0.31
20260305,00,27.22,83.73,0.61
20260305,01,27.07,84.15,0.3
20260305,02,26.92,84.58,0.33
20260305,03,26.78,84.95,0.2
20260305,04,26.64,85.35,0.32
20260305,05,26.51,85.82,0.37
20260305,06,26.47,85.98,0.39
20260305,07,27.03,83.24,0.69
20260305,08,27.9,78.2,0.7
20260305,09,28.78,73.42,0.57
20260305,10,29.68,69.17,0.3
20260305,11,30.46,65.28,0.48
20260305,12,31.09,61.9,0.66
20260305,13,31.52,60.01,1.4
20260305,14,31.58,60.64,1.54
20260305,15,31.17,63.78,2.73
20260305,16,30.34,67.57,8.43
20260305,17,29.37,71.76,16.52
20260305,18,28.52,76.34,2.56
20260305,19,28.15,79.17,1.74
20260305,20,27.95,80.87,0.3
20260305,21,27.78,82.08,0.37
20260305,22,27.61,82.9,0.28
20260305,23,27.46,83.53,0.24
